v1,v2,encoding,v2_clean,v2_encoded
ham,"Go until jurong point, crazy.. Available only in bugis n great world la e buffet... Cine there got amore wat...",0,jurong point crazy available bugis great world la buffet cine amore wat,"[3606, 213, 424, 442, 921, 40, 187, 922, 2352, 923, 3607, 48]"
ham,Ok lar... Joking wif u oni...,0,ok lar joke wif oni,"[3, 177, 443, 270, 1437]"
spam,Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's,1,free entry wkly comp win fa cup final tkts 21st 2005 text fa 87121 receive entry questionstd txt ratetcs apply 08452810075over18,"[2, 283, 510, 642, 22, 1438, 822, 402, 1439, 1752, 1753, 12, 1438, 1440, 139, 283, 2353, 16, 2354, 214, 2355]"
ham,U dun say so early hor... U c already then say...,0,dun early hor,"[109, 132, 2356]"
ham,"Nah I don't think he goes to usf, he lives around here though",0,nah think usf live,"[683, 14, 643, 114]"
spam,"FreeMsg Hey there darling it's been 3 week's now and no word back! I'd like some fun you up for it still? Tb ok! XxX std chgs to send, å£1.50 to rcv",1,freemsg hey darle 3 week word d like fun tb ok xxx std chgs send å£150 rcv,"[539, 44, 1754, 77, 27, 106, 118, 6, 223, 1441, 3, 224, 744, 3608, 5, 271, 2357]"
ham,Even my brother is not like to speak with me. They treat me like aids patent.,0,brother like speak treat like aids patent,"[371, 6, 146, 386, 6, 3609, 3610]"
ham,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,0,request melle melle oru minnaminunginte nurungu vettam set callertune caller press 9 copy friend callertune,"[644, 1050, 1050, 1442, 1755, 1756, 1757, 338, 684, 403, 685, 225, 686, 52, 684]"
spam,WINNER!! As a valued network customer you have been selected to receivea å£900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.,1,winner value network customer select receivea å£900 prize reward claim 09061701461 claim code kl341 valid 12 hour,"[444, 425, 215, 100, 241, 2358, 924, 58, 687, 38, 2359, 38, 248, 2360, 321, 511, 119]"
spam,Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030,1,mobile 11 month entitled update late colour mobile camera free mobile update co free 08002986030,"[23, 745, 154, 2361, 284, 57, 309, 23, 188, 2, 23, 284, 925, 2, 2362]"
ham,"I'm gonna be home soon and i don't want to talk about this stuff anymore tonight, k? I've cried enough today.",0,home soon want talk stuff anymore tonight ve cry today,"[17, 96, 7, 98, 140, 823, 99, 56, 926, 24]"
spam,"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info",1,chance win cash 100 20000 pound txt > csh11 send 87575 cost 150pday 6days 16 + tsandcs apply reply hl info,"[163, 22, 78, 426, 2363, 261, 16, 2364, 5, 1443, 170, 2365, 2366, 116, 2367, 214, 19, 1051, 540]"
spam,"URGENT! You have won a 1 week FREE membership in our å£100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18",1,urgent win 1 week free membership å£100000 prize jackpot txt word claim 81010 tc wwwdbuknet lccltd pobox 4403ldnw1a7rw18,"[93, 22, 67, 27, 2, 1758, 2368, 58, 2369, 16, 106, 38, 2370, 322, 2371, 2372, 445, 2373]"
ham,I've been searching for the right words to thank you for this breather. I promise i wont take your help for granted and will fulfil my promise. You have been wonderful and a blessing at all times.,0,ve search right word thank breather promise help grant fulfil promise wonderful blessing time,"[56, 339, 59, 106, 54, 3611, 541, 103, 3612, 3613, 541, 479, 1444, 10]"
ham,I HAVE A DATE ON SUNDAY WITH WILL!!,0,date sunday,"[183, 824]"
spam,"XXXMobileMovieClub: To use your credit, click the WAP link in the next txt message or click here>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL",1,xxxmobilemovieclub use credit click wap link txt message click > > httpwap xxxmobilemovieclubcomn = qjkgighjjgcbl,"[3614, 143, 272, 927, 688, 645, 16, 50, 927, 3615, 3616, 3617]"
ham,Oh k...i'm watching here:),0,oh kim watch,"[42, 3618, 88]"
ham,Eh u remember how 2 spell his name... Yes i did. He v naughty make until i v wet.,0,eh remember spell yes naughty wet,"[592, 216, 1445, 64, 1052, 1233]"
ham,Fine if thatåÕs the way u feel. ThatåÕs the way its gota b,0,fine thatåõs way feel thatåõs way gota,"[141, 1446, 55, 53, 1446, 55, 3619]"
spam,"England v Macedonia - dont miss the goals/team news. Txt ur national team to 87077 eg ENGLAND to 87077 Try:WALES, SCOTLAND 4txt/Ì¼1.20 POBOXox36504W45WQ 16+",1,england macedonia miss goalsteam news txt national team 87077 eg england 87077 trywale scotland 4txtì¼120 poboxox36504w45wq 16 +,"[689, 3620, 34, 3621, 427, 16, 593, 928, 825, 594, 689, 825, 3622, 1759, 3623, 3624, 116]"
ham,Is that seriously how you spell his name?,0,seriously spell,"[746, 1445]"
ham,IÛ÷m going to try for 2 months ha ha only joking,0,û÷ try month ha ha joke,"[1234, 41, 154, 446, 446, 443]"
ham,So Ì_ pay first lar... Then when is da stock comin...,0,ì _ pay lar da stock comin,"[33, 133, 177, 32, 1053, 646]"
ham,Aft i finish my lunch then i go str down lor. Ard 3 smth lor. U finish ur lunch already?,0,aft finish lunch str lor ard 3 smth lor finish lunch,"[387, 94, 144, 1447, 18, 353, 77, 447, 18, 94, 144]"
ham,Ffffffffff. Alright no way I can meet up with you sooner?,0,ffffffffff alright way meet soon,"[3625, 323, 55, 35, 96]"
ham,Just forced myself to eat a slice. I'm really not hungry tho. This sucks. Mark is getting worried. He knows I'm sick when I turn down pizza. Lol,0,force eat slice hungry tho suck mark worried sick turn pizza lol,"[1448, 111, 1760, 512, 428, 929, 826, 747, 748, 542, 827, 81]"
ham,Lol your always so convincing.,0,lol convincing,"[81, 3626]"
ham,Did you catch the bus ? Are you frying an egg ? Did you make a tea? Are you eating your mom's left over dinner ? Do you feel my Love ?,0,catch bus fry egg tea eat mom leave dinner feel love,"[448, 242, 1761, 1054, 1055, 111, 354, 45, 201, 53, 11]"
ham,"I'm back &amp; we're packing the car now, I'll let you know if there's room",0,amp pack car ill let room,"[70, 1056, 147, 9, 65, 174]"
ham,Ahhh. Work. I vaguely remember that! What does it feel like? Lol,0,ahhh work vaguely remember feel like lol,"[3627, 30, 3628, 216, 53, 6, 81]"
ham,"Wait that's still not all that clear, were you not sure about me being sarcastic or that that's why x doesn't want to live with us",0,wait clear sure sarcastic want live,"[43, 749, 85, 2374, 7, 114]"
ham,Yeah he got in at 2 and was v apologetic. n had fallen out and she was actin like spoilt child and he got caught up in that. Till 2! But we won't go there! Not doing too badly cheers. You? ,0,yeah apologetic fall actin like spoilt child catch till badly cheer,"[66, 3629, 480, 3630, 6, 3631, 690, 448, 310, 3632, 595]"
ham,K tell me anything about you.,0,tell,[13]
ham,For fear of fainting with the of all that housework you just did? Quick have a cuppa,0,fear faint housework quick cuppa,"[1762, 3633, 3634, 828, 3635]"
spam,Thanks for your subscription to Ringtone UK your mobile will be charged å£5/month Please confirm by replying YES or NO. If you reply NO you will not be charged,1,thank subscription ringtone uk mobile charge å£5month confirm reply yes reply charge,"[54, 1235, 226, 449, 23, 189, 3636, 543, 19, 64, 19, 189]"
ham,Yup... Ok i go home look at the timings then i msg Ì_ again... Xuhui going to learn on 2nd may too but her lesson is at 8am,0,yup ok home look timing msg ì _ xuhui learn 2nd lesson 8,"[155, 3, 17, 84, 1763, 60, 33, 1764, 829, 249, 285, 340]"
ham,"Oops, I'll let you know when my roommate's done",0,oop ill let roommate,"[830, 9, 65, 831]"
ham,I see the letter B on my car,0,letter car,"[832, 147]"
ham,Anything lor... U decide...,0,lor decide,"[18, 273]"
ham,Hello! How's you and how did saturday go? I was just texting to see if you'd decided to do anything tomo. Not that i'm trying to invite myself or anything!,0,hello saturday texte d decide tomo try invite,"[120, 450, 691, 118, 273, 429, 41, 341]"
ham,Pls go ahead with watts. I just wanted to be sure. Do have a great weekend. Abiola,0,pls ahead watts want sure great weekend abiola,"[47, 930, 3637, 7, 85, 40, 171, 647]"
ham,"Did I forget to tell you ? I want you , I need you, I crave you ... But most of all ... I love you my sweet Arabian steed ... Mmmmmm ... Yummy",0,forget tell want need crave love sweet arabian steed mmmmmm yummy,"[172, 13, 7, 15, 596, 11, 202, 3638, 3639, 2375, 1765]"
spam,07732584351 - Rodger Burns - MSG = We tried to call you re your reply to our sms for a free nokia mobile + free camcorder. Please call now 08000930705 for delivery tomorrow,1,07732584351 rodger burn msg = try reply sm free nokia mobile + free camcorder 08000930705 delivery tomorrow,"[3640, 3641, 1236, 60, 41, 19, 190, 2, 89, 23, 2, 481, 451, 342, 63]"
ham,WHO ARE YOU SEEING?,0,,[]
ham,Great! I hope you like your man well endowed. I am  &lt;#&gt;  inches...,0,great hope like man endowed inch,"[40, 36, 6, 112, 3642, 1057]"
ham,No calls..messages..missed calls,0,callsmessagesmisse,[1766]
ham,Didn't you get hep b immunisation in nigeria.,0,hep immunisation nigeria,"[3643, 3644, 833]"
ham,"Fair enough, anything going on?",0,fair,[1767]
ham,"Yeah hopefully, if tyler can't do it I could maybe ask around a bit",0,yeah hopefully tyler maybe ask bit,"[66, 1237, 1058, 243, 31, 148]"
ham,U don't know how stubborn I am. I didn't even want to go to the hospital. I kept telling Mark I'm not a weak sucker. Hospitals are for weak suckers.,0,stubborn want hospital tell mark weak sucker hospital weak sucker,"[3645, 7, 597, 13, 826, 1238, 2376, 597, 1238, 2376]"
ham,What you thinked about me. First time you saw me in class.,0,think time class,"[14, 10, 134]"
